sales_date,n
06/08/2016,40
06/09/2016,33
06/10/2016,36
06/13/2016,45
06/14/2016,32
06/15/2016,45
06/16/2016,43
06/17/2016,41
06/18/2016,2
06/19/2016,3
06/20/2016,42
06/21/2016,40
06/22/2016,40
06/23/2016,45
06/24/2016,30
06/25/2016,3
06/26/2016,4
06/27/2016,41
06/28/2016,66
06/29/2016,79
06/30/2016,93
07/01/2016,50
07/02/2016,3
07/03/2016,3
07/04/2016,16
07/05/2016,50
07/06/2016,46
07/07/2016,41
07/08/2016,37
07/09/2016,5
07/10/2016,5
07/11/2016,44
07/12/2016,34
07/13/2016,45
07/14/2016,38
07/15/2016,43
07/16/2016,2
07/17/2016,2
07/18/2016,44
07/19/2016,32
07/20/2016,33
07/21/2016,41
07/22/2016,45
07/23/2016,5
07/24/2016,8
07/25/2016,42
07/26/2016,50
07/27/2016,61
07/28/2016,59
07/29/2016,62
07/30/2016,6
07/31/2016,5
08/01/2016,68
08/02/2016,59
08/03/2016,59
08/04/2016,58
08/05/2016,57
08/06/2016,5
08/07/2016,3
08/08/2016,31
08/09/2016,47
08/10/2016,38
08/11/2016,57
08/12/2016,48
08/13/2016,4
08/14/2016,1
08/15/2016,39
08/16/2016,45
08/17/2016,19
08/18/2016,14
08/19/2016,3
08/22/2016,46
08/23/2016,68
08/24/2016,68
08/25/2016,50
08/26/2016,60
08/27/2016,1
08/28/2016,5
08/29/2016,36
08/30/2016,79
08/31/2016,135
09/01/2016,54
09/02/2016,41
09/03/2016,1
09/04/2016,4
09/05/2016,23
09/06/2016,49
09/07/2016,41
09/08/2016,44
09/09/2016,45
09/10/2016,4
09/11/2016,4
09/12/2016,50
09/13/2016,56
09/14/2016,67
09/15/2016,75
09/16/2016,65
09/17/2016,3
09/18/2016,6
09/19/2016,58
09/20/2016,59
09/21/2016,51
09/22/2016,50
09/23/2016,62
09/24/2016,5
09/25/2016,7
09/26/2016,40
09/27/2016,62
09/28/2016,73
09/29/2016,93
09/30/2016,124
10/01/2016,8
10/02/2016,4
10/03/2016,60
10/04/2016,35
10/05/2016,66
10/06/2016,58
10/07/2016,40
10/08/2016,4
10/09/2016,7
10/10/2016,41
10/11/2016,43
10/12/2016,21
10/13/2016,59
10/14/2016,48
10/15/2016,4
10/16/2016,1
10/17/2016,33
10/18/2016,50
10/19/2016,39
10/20/2016,50
10/21/2016,27
10/22/2016,4
10/23/2016,5
10/24/2016,43
10/25/2016,50
10/26/2016,52
10/27/2016,58
10/28/2016,42
10/29/2016,3
10/30/2016,12
10/31/2016,104
11/01/2016,64
11/02/2016,50
11/03/2016,50
11/04/2016,40
11/05/2016,1
11/06/2016,6
11/07/2016,45
11/08/2016,58
11/09/2016,46
11/10/2016,38
11/11/2016,46
11/12/2016,2
11/13/2016,5
11/14/2016,50
11/15/2016,47
11/16/2016,39
11/17/2016,69
11/18/2016,56
11/19/2016,1
11/20/2016,1
11/21/2016,52
11/22/2016,41
11/23/2016,36
11/24/2016,24
11/25/2016,12
11/26/2016,2
11/27/2016,3
11/28/2016,47
11/29/2016,95
11/30/2016,95
12/01/2016,64
12/02/2016,67
12/03/2016,5
12/04/2016,5
12/05/2016,53
12/06/2016,53
12/07/2016,33
12/08/2016,60
12/09/2016,38
12/10/2016,3
12/11/2016,3
12/12/2016,68
12/13/2016,44
12/14/2016,60
12/15/2016,86
12/16/2016,31
12/17/2016,3
12/18/2016,8
12/19/2016,48
12/20/2016,79
12/21/2016,109
12/22/2016,44
12/23/2016,36
12/24/2016,1
12/25/2016,5
12/26/2016,5
12/27/2016,20
12/28/2016,23
12/29/2016,45
12/30/2016,46
12/31/2016,4
01/01/2017,5
01/02/2017,11
01/03/2017,52
01/04/2017,62
01/05/2017,70
01/06/2017,65
01/07/2017,3
01/08/2017,5
01/09/2017,58
01/10/2017,61
01/11/2017,73
01/12/2017,63
01/13/2017,59
01/14/2017,5
01/15/2017,9
01/16/2017,41
01/17/2017,71
01/18/2017,34
01/19/2017,20
01/20/2017,18
01/22/2017,2
01/23/2017,30
01/24/2017,61
01/25/2017,75
01/26/2017,62
01/27/2017,64
01/28/2017,4
01/29/2017,5
01/30/2017,76
01/31/2017,131
02/01/2017,60
02/02/2017,64
02/03/2017,59
02/04/2017,3
02/05/2017,11
02/06/2017,51
02/07/2017,46
02/08/2017,67
02/09/2017,47
02/10/2017,51
02/11/2017,2
02/12/2017,9
02/13/2017,53
02/14/2017,58
02/15/2017,46
02/16/2017,58
02/17/2017,59
02/18/2017,3
02/19/2017,7
02/20/2017,40
02/21/2017,59
02/22/2017,76
02/23/2017,56
02/24/2017,60
02/25/2017,2
02/26/2017,11
02/27/2017,60
02/28/2017,128
03/01/2017,89
03/02/2017,59
03/03/2017,47
03/04/2017,1
03/05/2017,6
03/06/2017,86
03/07/2017,66
03/08/2017,75
03/09/2017,59
03/10/2017,64
03/11/2017,2
03/12/2017,3
03/13/2017,59
03/14/2017,36
03/15/2017,59
03/16/2017,64
03/17/2017,57
03/18/2017,5
03/19/2017,7
03/20/2017,48
03/21/2017,62
03/22/2017,51
03/23/2017,60
03/24/2017,59
03/25/2017,3
03/26/2017,8
03/27/2017,77
03/28/2017,87
03/29/2017,57
